House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
48,Kelly Route,Carol,Webb,43,Daughter,Single,Female,Leisure centre manager,None,Christian
48,Kelly Route,Elizabeth,Webb,41,Daughter,Single,Female,Network engineer,None,Christian
48,Kelly Route,Julie,Webb,33,Daughter,Single,Female,Data processing manager,None,None
48,Kelly Route,Ashleigh,Webb,26,Daughter,Single,Female,Manufacturing systems engineer,None,Christian
48,Kelly Route,Max,Webb,24,Son,Single,Male,Sports coach,None,Christian
48,Kelly Route,Ronald,Webb,21,Son,Single,Male,University Student,None,Christian
48,Kelly Route,Derek,Webb,20,Son,Single,Male,University Student,None,Christian
48,Kelly Route,David,Webb,19,Son,Single,Male,University Student,None,None
48,Kelly Route,Chelsea,Webb,15,Daughter,NA,Female,Student,None,NA
49,Kelly Route,Jayne,Robson,53,Head,Single,Female,Dietitian,None,Christian
49,Kelly Route,George,Russell,37,None,Single,Male,Unemployed,None,Catholic
49,Kelly Route,Jessica,Hammond,24,None,Single,Female,Clinical molecular geneticist,None,Christian
49,Kelly Route,Scott,John,18,None,Single,Male,Student,None,NA
49,Kelly Route,Timothy,Skinner,42,None,Single,Male,"Engineer, land",None,None
50,Kelly Route,Georgina,Smith,48,Head,Married,Female,Education administrator,None,None
50,Kelly Route,Dean,Smith,47,Husband,Married,Male,Bookseller,None,None
50,Kelly Route,Daniel,Smith,5,Son,NA,Male,Student,None,NA
50,Kelly Route,Antony,Smith,2,Son,NA,Male,Child,None,NA
51,Kelly Route,Heather,O'Neill,31,Head,Single,Female,Industrial buyer,None,None
51,Kelly Route,Iain,O'Neill,14,Son,NA,Male,Student,None,NA
51,Kelly Route,Amy,O'Neill,12,Daughter,NA,Female,Student,None,NA
51,Kelly Route,Patricia,O'Neill,9,Daughter,NA,Female,Student,None,NA
51,Kelly Route,Kenneth,O'Neill,5,Son,NA,Male,Student,None,NA
51,Kelly Route,Sara,O'Neill,1,Daughter,NA,Female,Child,None,NA
51,Kelly Route,Edward,Howard,28,Lodger,Single,Male,Unemployed,None,Christian
52,Kelly Route,Iain,Smith,46,Head,Divorced,Male,"Scientist, research (physical sciences)",None,Methodist
52,Kelly Route,Catherine,Smith,16,Daughter,NA,Female,Student,None,NA
52,Kelly Route,Rachel,Smith,15,Daughter,NA,Female,Student,None,NA
52,Kelly Route,Stuart,Smith,12,Son,NA,Male,Student,None,NA
52,Kelly Route,Katie,Smith,10,Daughter,NA,Female,Student,None,NA
53,Kelly Route,Gemma,Kay,58,Head,Married,Female,"Engineer, materials",None,Christian
53,Kelly Route,Henry,Kay,62,Husband,Married,Male,"Restaurant manager, fast food",None,Christian
53,Kelly Route,Howard,Kay,23,Son,Single,Male,Camera operator,None,Christian
53,Kelly Route,Paul,Kay,20,Son,Single,Male,University Student,None,Christian
53,Kelly Route,Amelia,Kay,16,Daughter,NA,Female,Student,None,NA
54,Kelly Route,Donna,Robertson,48,Head,Married,Female,Ranger/warden,None,Catholic
54,Kelly Route,Declan,Robertson,50,Husband,Married,Male,"Development worker, community",None,Catholic
54,Kelly Route,Carolyn,Robertson,17,Daughter,NA,Female,Student,None,NA
54,Kelly Route,Kieran,Robertson,15,Son,NA,Male,Student,None,NA
54,Kelly Route,Mark,Robertson,7,Son,NA,Male,Student,None,NA
55,Kelly Route,Roger,Griffin,90,Head,Single,Male,Retired Higher education careers adviser,None,None
56,Kelly Route,Jean,Harris,72,Head,Single,Female,Retired Secretary/administrator,None,None
56,Kelly Route,Mandy,Harris,41,Daughter,Single,Female,Charity fundraiser,None,None
56,Kelly Route,Danielle,Harris,39,Daughter,Divorced,Female,Dietitian,None,None
56,Kelly Route,Joe,Harris,37,Son,Divorced,Male,Theatre director,None,None
1,Lion Street,Jemma,Moss,66,Head,Married,Female,Health promotion specialist,None,Christian
1,Lion Street,Matthew,Moss,66,Husband,Married,Male,Unemployed,None,Christian
2,Lion Street,Henry,Wilson,78,Head,Widowed,Male,"Retired Surveyor, planning and development",None,Catholic
3,Lion Street,Ann,Henry,83,Head,Married,Female,Retired Wellsite geologist,None,Christian
3,Lion Street,Mohammad,Henry,84,Husband,Married,Male,Retired Nutritional therapist,None,None
4,Lion Street,Sylvia,Walsh,36,Head,Single,Female,Unemployed,None,Catholic
4,Lion Street,Eric,Coles,39,Partner,Single,Male,Ergonomist,None,Catholic
4,Lion Street,Anna,Walsh,1,Daughter,NA,Female,Child,None,NA
4,Lion Street,Jeffrey,Jones,30,Lodger,Widowed,Male,Volunteer coordinator,None,Jewish
4,Lion Street,Josephine,Cook,51,Lodger,Single,Female,Systems analyst,None,Christian
5,Lion Street,Zoe,Berry,38,Head,Single,Female,Marine scientist,None,None
5,Lion Street,Danny,Berry,8,Son,NA,Male,Student,None,NA
6,Lion Street,Danielle,King,18,Head,Single,Female,University Student,None,NA
6,Lion Street,Kayleigh,Coleman,19,None,Single,Female,University Student,None,None
7,Lion Street,Toby,Griffiths,46,Head,Single,Male,Barrister's clerk,None,Catholic
7,Lion Street,Alex,Stewart,51,None,Single,Male,"Surveyor, planning and development",None,Christian
7,Lion Street,Dylan,Myers,41,None,Single,Male,Diagnostic radiographer,None,Catholic
7,Lion Street,Bernard,Dodd,30,None,Single,Male,Unemployed,None,Muslim
7,Lion Street,Shaun,Simmons,33,None,Single,Male,Secretary/administrator,None,Christian
8,Lion Street,Pamela,Taylor,44,Head,Married,Female,Horticultural therapist,None,None
8,Lion Street,Clifford,Taylor,43,Husband,Married,Male,"Psychologist, clinical",None,None
8,Lion Street,Alan,Taylor,11,Son,NA,Male,Student,None,NA
8,Lion Street,Margaret,Taylor,6,Daughter,NA,Female,Student,None,NA
8,Lion Street,Leslie,Taylor,5,Son,NA,Male,Student,None,NA
9,Lion Street,Rachel,Foster,31,Head,Divorced,Female,Town planner,None,None
9,Lion Street,Hugh,Foster,3,Son,NA,Male,Child,None,NA
9,Lion Street,Damien,Foster,1,Son,NA,Male,Child,None,NA
10,Lion Street,Sharon,Thompson,22,Head,Married,Female,University Student,None,None
10,Lion Street,Albert,Thompson,24,Husband,Married,Male,"Production assistant, radio",None,None
11,Lion Street,Clare,Williams,57,Head,Single,Female,Barista,None,Christian
11,Lion Street,Brett,Carter,59,Partner,Single,Male,Engineering geologist,None,None
11,Lion Street,Mark,Williams,27,Son,Single,Male,"Psychologist, forensic",None,Christian
11,Lion Street,Lewis,Williams,26,Son,Divorced,Male,Art therapist,None,Christian
11,Lion Street,Danielle,Williams,0,Daughter,NA,Female,Child,None,NA
12,Lion Street,Frances,Conway,42,Head,Divorced,Female,IT technical support officer,None,None
13,Lion Street,Dorothy,Hughes,54,Head,Divorced,Female,"Conservation officer, nature",None,Methodist
14,Lion Street,Patricia,Begum,99,Head,Single,Female,Retired Ship broker,None,Christian
15,Lion Street,Sharon,Harris,44,Head,Married,Female,Further education lecturer,None,Christian
15,Lion Street,Russell,Harris,46,Husband,Married,Male,Biomedical engineer,None,Christian
15,Lion Street,Shane,Harris,12,Son,NA,Male,Student,None,NA
16,Lion Street,Catherine,Nash,51,Head,Single,Female,Unemployed,None,None
16,Lion Street,Trevor,Hussain,54,Partner,Single,Male,Automotive engineer,None,None
16,Lion Street,Shirley,Nash,18,Daughter,Single,Female,Student,None,None
16,Lion Street,Gillian,Nash,14,Daughter,NA,Female,Student,None,NA
17,Lion Street,Elaine,Finch,38,Head,Single,Female,Unemployed,None,Methodist
17,Lion Street,Bethany,Barber,33,Lodger,Divorced,Female,Physiotherapist,None,Christian
17,Lion Street,Graham,John,32,Lodger,Single,Male,"Accountant, chartered public finance",None,Catholic
17,Lion Street,Scott,Elliott,25,Lodger,Single,Male,Copy,None,None
18,Lion Street,Olivia,Jenkins,69,Head,Widowed,Female,Unemployed,None,Christian
18,Lion Street,Harry,Jenkins,23,Son,Single,Male,Unemployed,None,Christian
18,Lion Street,Molly,Jenkins,20,Daughter,Single,Female,University Student,None,None
19,Lion Street,Gillian,Webb,56,Head,Single,Female,"Investment banker, operational",None,Catholic
19,Lion Street,Cameron,Webb,21,Son,Divorced,Male,University Student,None,Catholic
19,Lion Street,Katherine,Webb,19,Daughter,Single,Female,University Student,None,Catholic
19,Lion Street,Emily,Webb,15,Daughter,NA,Female,Student,None,NA
19,Lion Street,Melissa,Webb,15,Daughter,NA,Female,Student,None,NA
19,Lion Street,Francesca,Webb,9,Daughter,NA,Female,Student,None,NA
20,Lion Street,Glen,Cook,38,Head,Single,Male,Manufacturing engineer,None,Methodist
21,Lion Street,Lynn,Taylor,19,Head,Single,Female,University Student,None,Methodist
22,Lion Street,Lesley,Nixon,31,Head,Single,Female,"Scientist, clinical (histocompatibility and immunogenetics)",None,Catholic
23,Lion Street,Liam,Jones,34,Head,Single,Male,Careers adviser,None,None
23,Lion Street,Mary,Williamson,34,Partner,Single,Female,"Programmer, applications",None,None
23,Lion Street,Samuel,Jones,10,Son,NA,Male,Student,None,NA
23,Lion Street,Naomi,Jones,10,Daughter,NA,Female,Student,None,NA
24,Lion Street,Lynda,Jackson,68,Head,Widowed,Female,Retired Airline pilot,None,Christian
25,Lion Street,Hollie,Kelly,53,Head,Divorced,Female,"Conservator, furniture",None,Christian
25,Lion Street,Olivia,Kelly,16,Daughter,NA,Female,Student,None,NA
26,Lion Street,Jayne,Singh,54,Head,Married,Female,Multimedia programmer,None,Christian
26,Lion Street,Adam,Singh,54,Husband,Married,Male,Quarry manager,None,Christian
26,Lion Street,Ian,Singh,11,Son,NA,Male,Student,None,NA
27,Lion Street,Colin,McKenzie,70,Head,Single,Male,"Retired Nurse, adult",None,Christian
27,Lion Street,Mitchell,McKenzie,39,Son,Divorced,Male,"Designer, ceramics/pottery",None,Christian
28,Lion Street,Abigail,Howarth,45,Head,Single,Female,Product designer,None,None
28,Lion Street,Dominic,Hawkins,47,Partner,Single,Male,"Engineer, drilling",None,None
28,Lion Street,Roy,Howarth,15,Son,NA,Male,Student,None,NA
29,Lion Street,Jacqueline,Wilson,40,Head,Single,Female,Hospital pharmacist,None,Christian
29,Lion Street,Lewis,Williams,18,None,Single,Male,Student,None,NA
29,Lion Street,Steven,Barker,28,None,Single,Male,"Engineer, control and instrumentation",None,Catholic
30,Lion Street,Hayley,Pugh,45,Head,Married,Female,Stage manager,None,Muslim
30,Lion Street,Damien,Pugh,49,Husband,Married,Male,Unemployed,None,Muslim
30,Lion Street,Marcus,Pugh,26,Son,Single,Male,Catering manager,None,None
30,Lion Street,Alex,Pugh,25,Son,Single,Male,Diagnostic radiographer,None,Muslim
30,Lion Street,Leah,Pugh,21,Daughter,Single,Female,University Student,None,Muslim
30,Lion Street,Jean,Pugh,5,Daughter,NA,Female,Student,None,NA
31,Lion Street,Tracey,Garner,34,Head,Single,Female,Surgeon,None,None
31,Lion Street,Cameron,Reid,34,Partner,Single,Male,Unemployed,None,None
32,Lion Street,Nicola,Allen,52,Head,Married,Female,"Teacher, music",None,Catholic
32,Lion Street,Max,Allen,51,Husband,Married,Male,Arboriculturist,None,Catholic
32,Lion Street,Geraldine,Allen,23,Daughter,Single,Female,Sales promotion account executive,None,None
32,Lion Street,Gordon,Allen,20,Son,Single,Male,University Student,None,Catholic
32,Lion Street,Marion,Allen,16,Daughter,NA,Female,Student,None,NA
33,Lion Street,Sandra,Allen,60,Head,Divorced,Female,"Engineer, aeronautical",None,Christian
33,Lion Street,Frederick,Allen,29,Son,Widowed,Male,"Development worker, international aid",None,Christian
34,Lion Street,Zoe,Dickinson,34,Head,Divorced,Female,Higher education lecturer,None,Sikh
34,Lion Street,Sophie,Dickinson,9,Daughter,NA,Female,Student,None,NA
1,London Drive,Joanne,Rees,87,Head,Married,female,"Retired Engineer, electrical",None,None
1,London Drive,Connor,Rees,88,Husband,Married,Male,Retired Company secretary,None,None
2,London Drive,Wayne,Brown,35,Head,Single,Male,Insurance risk surveyor,None,Christian
2,London Drive,Jill,Baxter,33,Partner,Single,Female,Unemployed,None,Christian
2,London Drive,Stephanie,Brown,4,Daughter,NA,Female,Child,None,NA
3,London Drive,Christine,McKenzie,53,Head,Married,Female,Unemployed,None,Christian
3,London Drive,Maurice,McKenzie,55,Husband,Married,Male,Colour technologist,None,None
3,London Drive,Keith,McKenzie,19,Son,Single,Male,University Student,None,None
3,London Drive,Jessica,McKenzie,16,Daughter,NA,Female,Student,None,NA
4,London Drive,Jeffrey,Cooper,53,Head,Married,Male,Unemployed,None,Christian
4,London Drive,Leah,Cooper,52,Wife,Married,Female,Operational investment banker,None,Christian
5,London Drive,Anthony,Jones,56,Head,Single,Male,Mental health nurse,None,Christian
6,London Drive,Marilyn,Turner,29,Head,Single,Female,Air traffic controller,None,Sikh
6,London Drive,Joe,Turner,29,Cousin,Single,Male,Leisure centre manager,None,Sikh
6,London Drive,Amy,Turner,33,Cousin,Single,Female,Insurance risk surveyor,None,Sikh
7,London Drive,Rosemary,Bartlett,41,Head,Single,Female,"Administrator, charities/voluntary organisations",None,Methodist
8,London Drive,Geraldine,Lewis,63,Head,Single,Female,Mechanical engineer,None,Christian
8,London Drive,Jacqueline,White,57,None,Single,Female,"Teacher, secondary school",None,Christian
8,London Drive,Frances,Hawkins,44,None,Single,Female,"Engineer, civil (consulting)",None,Christian
8,London Drive,Adrian,Watson,53,None,Single,Male,"Lecturer, further education",None,Catholic
9,London Drive,Julie,Lewis,48,Head,Single,Female,"Engineer, petroleum",None,None
9,London Drive,Tracey,Lewis,14,Daughter,NA,Female,Student,None,NA
9,London Drive,Marie,Lewis,9,Daughter,NA,Female,Student,None,NA
10,London Drive,Victor,Martin,53,Head,Married,Male,Clinical cytogeneticist,None,Catholic
10,London Drive,Amber,Martin,53,Wife,Married,Female,Pathologist,None,None
11,London Drive,Ruth,Goddard,85,Head,Single,Female,"Retired Solicitor, Scotland",None,Methodist
12,London Drive,Gemma,Whittaker,22,Head,Married,Female,University Student,None,Methodist
12,London Drive,Mitchell,Whittaker,23,Husband,Married,Male,Armed forces logistics/support/administrative officer,None,Methodist
12,London Drive,Timothy,McKenzie,20,Cousin,Widowed,Male,University Student,None,Methodist
13,London Drive,Declan,Taylor,21,Head,Single,Male,University Student,None,Christian
13,London Drive,Jordan,Evans,30,None,Single,Male,Unemployed,None,None
13,London Drive,Sharon,Dixon,21,None,Single,Female,University Student,None,None
14,London Drive,Harriet,Gibson,42,Head,Single,Female,Scientific laboratory technician,None,Methodist
14,London Drive,Christine,Gibson,15,Daughter,NA,Female,Student,None,NA
14,London Drive,Zoe,Gibson,13,Daughter,NA,Female,Student,None,NA
14,London Drive,Damian,Day-Gibson,12,Son,NA,Male,Student,None,NA
14,London Drive,Anna,Day-Gibson,10,Daughter,NA,Female,Student,None,NA
15,London Drive,Annette,Stevenson,86,Head,Married,Female,Retired Media planner,None,Christian
15,London Drive,Frank,Stevenson,89,Husband,Married,Male,Retired Medical secretary,None,Christian
16,London Drive,Ann,Johnson,22,Head,Single,Female,University Student,None,None
17,London Drive,Jane,Richards,79,Head,Married,Female,Retired Systems developer,None,Muslim
17,London Drive,Leon,Richards,80,Husband,Married,M,"Retired Nurse, learning disability",None,Muslim
17,London Drive,Ashley,Richards,47,Son,Single,Male,Outdoor activities/education manager,None,Muslim
17,London Drive,Beth,Richards,45,Daughter,Single,Female,"Research officer, political party",None,None
17,London Drive,Richard,Richards,45,Son,Single,Male,Child psychotherapist,None,Muslim
18,London Drive,Wendy,May,78,Head,Widowed,Female,Retired Building control surveyor,None,None
19,London Drive,Margaret,Davies,55,Head,Married,Female,"Engineer, manufacturing",None,Christian
19,London Drive,Daniel,Davies,59,Husband,Married,Male,Field seismologist,None,Christian
19,London Drive,Danny,Davies,20,Son,Single,Male,Furniture designer,None,None
20,London Drive,Julie,Brown,46,Head,Single,Female,Insurance claims handler,None,Christian
20,London Drive,Philip,Stevenson,42,Partner,Single,Male,"Psychologist, prison and probation services",None,Christian
20,London Drive,Ian,Brown,15,Son,NA,Male,Student,None,NA
20,London Drive,Julian,Brown,11,Son,NA,Male,Student,None,NA
21,London Drive,Colin,Shah,50,Head,Married,Male,Chief Strategy Officer,None,Catholic
21,London Drive,June,Shah,50,Wife,Married,Female,"Buyer, retail",None,Catholic
21,London Drive,Graeme,Shah,16,Son,NA,Male,Student,None,NA
22,London Drive,Grace,McKenzie,42,Head,Married,Female,"Engineer, structural",None,None
22,London Drive,Malcolm,McKenzie,49,Husband,Married,Male,"Therapist, horticultural",None,None
22,London Drive,Francis,McKenzie,14,Son,NA,Male,Student,None,NA
23,London Drive,Francesca,Cross,26,Head,Single,Female,Medical sales representative,None,Muslim
23,London Drive,Ricky,Harvey,28,Partner,Single,Male,Industrial buyer,None,Muslim
23,London Drive,Stewart,Cross,6,Son,NA,Male,Student,None,NA
24,London Drive,Aimee,Roberts,51,Head,Married,Female,Counsellor,None,None
24,London Drive,Iain,Butler,53,Husband,Married,Male,"Engineer, materials",None,None
24,London Drive,Ashleigh,Roberts,29,Daughter,Single,Female,Primary school teacher,None,None
24,London Drive,Vincent,Roberts,0,Son,NA,Male,Child,None,NA
25,London Drive,Sally,Taylor,36,Head,Married,Female,Public affairs consultant,None,Catholic
25,London Drive,Hugh,Taylor,38,Husband,Married,Male,Therapeutic radiographer,None,Catholic
25,London Drive,Hayley,Taylor,5,Daughter,NA,Female,Student,None,NA
26,London Drive,William,Welch,31,Head,Married,Male,Outdoor activities/education manager,None,Christian
26,London Drive,Shirley,Welch,33,Wife,Married,Female,Forensic scientist,None,None
27,London Drive,Kayleigh,Cook,48,Head,Married,Female,"Engineer, structural",None,None
27,London Drive,Mark,Cook,52,Husband,Married,Male,Unemployed,None,None
27,London Drive,Beth,Cook,15,Daughter,NA,Female,Student,None,NA
28,London Drive,Lorraine,Kaur,49,Head,Married,Female,Forest/woodland manager,None,None
28,London Drive,Bryan,Kaur,50,Husband,Married,Male,Unemployed,None,None
28,London Drive,Vanessa,Kaur,16,Daughter,NA,Female,Student,None,NA
29,London Drive,Rosie,Marsh,58,Head,Married,Female,Fitness centre manager,None,Christian
29,London Drive,Billy,Marsh,55,Husband,Married,Male,Cytogeneticist,None,Christian
29,London Drive,Leah,Marsh,20,Daughter,Single,Female,Unemployed,None,Christian
29,London Drive,Gerald,Marsh,20,Son,Single,Male,University Student,None,Christian
29,London Drive,Lauren,Marsh,17,Daughter,NA,Female,Student,None,NA
29,London Drive,Danny,Marsh,14,Son,NA,Male,Student,None,NA
30,London Drive,Connor,Stevens,48,Head,Married,Male,Recycling officer,None,Christian
30,London Drive,Ann,Stevens,46,Wife,Married,Female,Set designer,None,Christian
31,London Drive,Maureen,Turner,59,Head,Married,Female,General practice doctor,None,Christian
31,London Drive,Dale,Turner,61,Husband,Married,Male,"Librarian, academic",None,Christian
31,London Drive,Aaron,Turner,27,Son,Widowed,Male,"Engineer, chemical",None,Christian
32,London Drive,Wendy,Reynolds,59,Head,Married,Female,"Solicitor, Scotland",None,Methodist
32,London Drive,Timothy,Reynolds,56,Husband,Married,Male,Administrator,None,None
32,London Drive,Lawrence,Reynolds,24,Son,Single,Male,Physiotherapist,None,None
33,London Drive,Arthur,Yates,74,Head,Married,Male,Retired Commercial/residential surveyor,None,None
33,London Drive,Shannon,Yates,73,Wife,Married,Female,Retired Licensed conveyancer,None,None
33,London Drive,Carol,Yates,31,Daughter,Single,Female,Financial adviser,None,None
1,Wells Lane,Hayley,Hunt,79,Head,Married,Female,Retired Legal secretary,None,None
1,Wells Lane,Richard,Hunt,79,Husband,Married,Male,Retired Veterinary surgeon,None,None
1,Wells Lane,Heather,Hunt,54,Daughter,Divorced,Female,Site engineer,None,None
1,Wells Lane,Sylvia,Hunt,54,Daughter,Single,Female,"Surveyor, hydrographic",None,None
1,Wells Lane,Frederick,Hunt,52,Son,Single,Male,Fast food restaurant manager,None,None
1,Wells Lane,Francis,Hunt,49,Son,Single,Male,Insurance claims handler,None,None
1,Wells Lane,Abigail,Hunt,46,Daughter,Single,Female,"Teacher, music",None,None
1,Wells Lane,Susan,Hunt,40,Adopted Daughter,Single,Female,Chartered management accountant,None,None
1,Wells Lane,Tina,Hunt,36,Daughter,Divorced,Female,"Scientist, research (life sciences)",None,None
1,Wells Lane,Hayley,Mann,35,Daughter,Single,Female,"Scientist, research (physical sciences)",None,None
2,Wells Lane,Teresa,Tucker,52,Head,Single,Female,Chief Technology Officer,None,Christian
2,Wells Lane,Josh,Hayes,54,Partner,Single,Male,Advertising art director,None,Christian
2,Wells Lane,Joyce,Tucker,16,Daughter,NA,Female,Student,None,NA
2,Wells Lane,Lydia,Tucker,14,Daughter,NA,Female,Student,None,NA
2,Wells Lane,Richard,Tucker,12,Son,NA,Male,Student,None,NA
3,Wells Lane,Marcus,Bray,61,Head,Married,Male,Waste management officer,None,None
3,Wells Lane,Jean,Bray,62,Wife,Married,Female,Higher education careers adviser,None,None
3,Wells Lane,Rosemary,Bray,36,Daughter,Divorced,Female,Call centre manager,None,None
3,Wells Lane,Lynda,Bray,35,Daughter,Single,Female,Editorial assistant,None,None
3,Wells Lane,Tracy,Bray,34,Daughter,Single,Female,"Engineer, land",None,None
4,Wells Lane,Diana,Smith,50,Head,Married,Female,Fashion designer,None,None
4,Wells Lane,Patrick,Smith,52,Husband,Married,Male,Industrial/product designer,None,None
4,Wells Lane,Billy,Smith,26,Son,Single,Male,Web designer,None,None
5,Wells Lane,Eric,Jones,64,Head,Married,Male,Clinical psychologist,None,Methodist
5,Wells Lane,Jill,Jones,62,Wife,Married,Female,Unemployed,None,Methodist
5,Wells Lane,Victoria,Jones,18,Daughter,Single,Female,Student,None,Methodist
5,Wells Lane,Dominic,Jones,14,Son,NA,Male,Student,None,NA
5,Wells Lane,Lewis,Jones,13,Son,NA,Male,Student,None,NA
6,Wells Lane,Beverley,Williams,52,Head,Married,Female,"Engineer, building services",None,Christian
6,Wells Lane,Gordon,Hill,54,Husband,Married,Male,Unemployed,None,Christian
6,Wells Lane,Nigel,Williams,17,Son,NA,Male,Student,None,NA
6,Wells Lane,Irene,Stevenson-Williams,14,Daughter,NA,Female,Student,None,NA
7,Wells Lane,Naomi,Kennedy,74,Head,Married,Female,Retired Forensic psychologist,None,Christian
7,Wells Lane,Kevin,Kennedy,75,Husband,Married,Male,Retired Freight forwarder,None,Christian
7,Wells Lane,Kathleen,Kennedy,44,Daughter,Widowed,Female,Industrial buyer,None,Christian
7,Wells Lane,Megan,Kennedy,41,Daughter,Single,Female,Community pharmacist,None,Christian
7,Wells Lane,Melanie,Kennedy,41,Daughter,Single,Female,Chief Strategy Officer,None,Christian
8,Wells Lane,Debra,Pearson,38,Head,Single,Female,"Surveyor, commercial/residential",None,Christian
8,Wells Lane,Gerald,Pearson,10,Son,NA,Male,Student,None,NA
8,Wells Lane,Megan,Pearson,9,Daughter,NA,Female,Student,None,NA
8,Wells Lane,Elizabeth,Pearson,5,Daughter,NA,Female,Student,None,NA
8,Wells Lane,Malcolm,Pearson,3,Son,NA,Male,Child,None,NA
9,Wells Lane,Lynn,Robinson,40,Head,Divorced,Female,Electronics engineer,None,Methodist
9,Wells Lane,Ricky,Robinson,16,Son,NA,Male,Student,None,NA
9,Wells Lane,Katherine,Robinson,14,Daughter,NA,Female,Student,None,NA
9,Wells Lane,Barbara,Robinson,10,Daughter,NA,Female,Student,None,NA
9,Wells Lane,Andrew,Robinson,7,Son,NA,Male,Student,None,NA
10,Wells Lane,Charles,Godfrey,70,Head,Married,Male,Retired Race relations officer,None,Methodist
10,Wells Lane,Carly,Godfrey,68,Wife,Married,Female,Retired Ergonomist,None,None
10,Wells Lane,Nathan,Godfrey,30,Grandson,Single,Male,Lawyer,None,Methodist
10,Wells Lane,Jasmine,Godfrey,26,Granddaughter,Divorced,Female,Occupational therapist,None,None
10,Wells Lane,Mitchell,McKenzie,26,Grandson,Divorced,Male,Science writer,None,Methodist
10,Wells Lane,Adrian,McKenzie,25,Grandson,Single,Male,Oncologist,None,None
11,Wells Lane,Elliot,Davies,38,Head,Married,Male,Farm manager,None,None
11,Wells Lane,Marian,Davies,30,Wife,Married,Female,Technical author,None,None
11,Wells Lane,Joanne,Davies,3,Daughter,NA,Female,Child,None,NA
11,Wells Lane,Sam,Dyer,38,Lodger,Single,Male,"Librarian, academic",None,Catholic
11,Wells Lane,Andrew,Henry,62,Lodger,Divorced,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Christian
12,Wells Lane,Deborah,Patel,42,Head,Married,Female,Mechanical engineer,None,Methodist
12,Wells Lane,Conor,Patel,42,Husband,Married,Male,Chartered legal executive (England and Wales),None,None
12,Wells Lane,Terence,Patel,12,Son,NA,Male,Student,None,NA
12,Wells Lane,Gemma,Patel,8,Daughter,NA,Female,Student,None,NA
12,Wells Lane,Keith,Patel,4,Son,NA,Male,Child,None,NA
13,Wells Lane,Jodie,Hargreaves,51,Head,Married,Female,Animal nutritionist,None,Christian
13,Wells Lane,Edward,Hargreaves,55,Husband,Married,Male,Forensic psychologist,None,Christian
13,Wells Lane,Kerry,Hargreaves,21,Daughter,Single,Female,University Student,None,None
13,Wells Lane,Steven,Hargreaves,20,Son,Single,Male,University Student,None,Christian
13,Wells Lane,Francesca,Hargreaves,16,Daughter,NA,Female,Student,None,NA
14,Wells Lane,Abigail,Sanderson,42,Head,Married,Female,"Pharmacist, community",None,Christian
14,Wells Lane,Elliot,Sanderson,45,Husband,Married,Male,Clinical psychologist,None,None
14,Wells Lane,Ashleigh,Clarke,40,Lodger,Single,Female,Public relations officer,None,None
14,Wells Lane,Jane,O'Brien,21,Lodger,Single,Female,University Student,None,Christian
14,Wells Lane,Peter,Alexander,48,Lodger,Single,Male,Health visitor,None,None
15,Wells Lane,Janice,Clark,42,Head,Married,Female,"Secretary, company",None,None
15,Wells Lane,Jamie,Clark,37,Husband,Married,Male,Art therapist,None,None
15,Wells Lane,Christian,Clark,11,Son,NA,Male,Student,None,NA
15,Wells Lane,Francis,Clark,10,Son,NA,Male,Student,None,NA
15,Wells Lane,Duncan,Clark,9,Son,NA,Male,Student,None,NA
15,Wells Lane,Matthew,Clark,3,Son,NA,Male,Child,None,NA
15,Wells Lane,Billy,Clark,1,Son,NA,Male,Child,None,NA
15,Wells Lane,Iain,Kirk,32,Lodger,Divorced,Male,"Civil engineer, consulting",None,Methodist
15,Wells Lane,Leon,Wheeler,59,Lodger,Single,Male,Magazine features editor,None,None
16,Wells Lane,Rebecca,Nolan,26,Head,Single,Female,Public affairs consultant,None,Muslim
16,Wells Lane,Jeffrey,O'Donnell,26,Partner,Single,Male,Museum education officer,None,None
16,Wells Lane,John,Nolan,7,Son,NA,Male,Student,None,NA
16,Wells Lane,Amber,Nolan,7,Daughter,NA,Female,Student,None,NA
16,Wells Lane,Kate,Nolan,5,Daughter,NA,Female,Student,None,NA
17,Wells Lane,Eileen,Baxter,50,Head,Divorced,Female,"Engineer, control and instrumentation",None,Methodist
17,Wells Lane,Tina,Baxter,14,Daughter,NA,Female,Student,None,NA
17,Wells Lane,Stephen,Baxter,14,Son,NA,Male,Student,None,NA
17,Wells Lane,Gareth,Baxter,12,Son,NA,Male,Student,None,NA
17,Wells Lane,Kenneth,Baxter,10,Son,NA,Male,Student,None,NA
17,Wells Lane,Max,Baxter,8,Son,NA,Male,Student,None,NA
17,Wells Lane,Andrew,Baxter,7,Son,NA,Male,Student,None,NA
17,Wells Lane,Simon,Baxter,1,Son,NA,Male,Child,None,NA
17,Wells Lane,Nigel,Baxter,0,Son,NA,Male,Child,None,NA
17,Wells Lane,Marion,Cole,57,Lodger,Single,Female,Medical secretary,None,Christian
18,Wells Lane,Hayley,Field,40,Head,Married,Female,Theme park manager,None,None
18,Wells Lane,Colin,Field,43,Husband,Married,Male,Architect,None,Catholic
18,Wells Lane,Russell,Field,17,Son,NA,Male,Student,None,NA
